metric,method,cluster,value
der,sb_ecapa_tdnn,sc,0.47588534813204453
der_skip,sb_ecapa_tdnn,sc,0.3664380654908403
coverage,sb_ecapa_tdnn,sc,0.7178104155478255
purity,sb_ecapa_tdnn,sc,0.7500668964119211
der,sb_ecapa_tdnn,sc,0.327028477525743
der_skip,sb_ecapa_tdnn,sc,0.24176703469937602
coverage,sb_ecapa_tdnn,sc,0.8260207636770316
purity,sb_ecapa_tdnn,sc,0.8564510787352929
der,sb_ecapa_tdnn,sc,0.337305280574595
der_skip,sb_ecapa_tdnn,sc,0.24150514587683336
coverage,sb_ecapa_tdnn,sc,0.8243761766010775
purity,sb_ecapa_tdnn,sc,0.8493312565400967
der,sb_ecapa_tdnn,sc,0.584882509611874
der_skip,sb_ecapa_tdnn,sc,0.5207966830704869
coverage,sb_ecapa_tdnn,sc,0.5771878707931449
purity,sb_ecapa_tdnn,sc,0.5977856151929927
der,sb_ecapa_tdnn,sc,0.6871303747627332
der_skip,sb_ecapa_tdnn,sc,0.6591282184205974
coverage,sb_ecapa_tdnn,sc,0.4628085091117814
purity,sb_ecapa_tdnn,sc,0.6432138780169588
der,sb_ecapa_tdnn,sc,0.6098251085495144
der_skip,sb_ecapa_tdnn,sc,0.5766363832425725
coverage,sb_ecapa_tdnn,sc,0.5770371768258161
purity,sb_ecapa_tdnn,sc,0.582470841169536
der,sb_ecapa_tdnn,sc,0.34827435068169216
der_skip,sb_ecapa_tdnn,sc,0.30330071075056697
coverage,sb_ecapa_tdnn,sc,0.7894907821002195
purity,sb_ecapa_tdnn,sc,0.7485285787702713
der,sb_ecapa_tdnn,sc,0.5914808263314157
der_skip,sb_ecapa_tdnn,sc,0.5488154747240341
coverage,sb_ecapa_tdnn,sc,0.49435623526466277
purity,sb_ecapa_tdnn,sc,0.5598955909274258
der,sb_ecapa_tdnn,sc,0.5992513287485951
der_skip,sb_ecapa_tdnn,sc,0.5477649603460695
coverage,sb_ecapa_tdnn,sc,0.6291465010489591
purity,sb_ecapa_tdnn,sc,0.8367421501694259
der,sb_ecapa_tdnn,sc,0.46663432964802803
der_skip,sb_ecapa_tdnn,sc,0.4350580781414988
